businessID,registrationYear,businessAddress,businessType,yearsOfOperation,certificateOfPotability,pestControl,sanitaryPermit,sanitaryOrder01,sanitaryOrder02,resolutionStatus,pastRenewalBehavior,willRenew,isDelayed
1,2023,Bagong Ilog,Hardware,2,0,1,1,0,0,Unpaid,Always,Yes,0
2,2025,Maybunga,Pharmacy,0,1,1,1,0,0,Unpaid,Never,Yes,0
3,2025,Rosario,Salon,0,1,1,1,0,0,Paid,Never,Yes,0
4,2024,Manggahan,Hardware,1,1,0,1,0,0,Paid,Always,No,1
5,2022,Sta. Lucia,Printing Shop,4,1,1,1,0,0,Paid,Sometimes,Yes,0
6,2022,Kapitolyo,Salon,4,1,0,1,0,0,Paid,Always,No,0
7,2021,Kapitolyo,Fast Food,4,1,1,1,0,0,Paid,Sometimes,Yes,0
8,2025,Ugong,Pharmacy,1,1,1,1,0,0,Unpaid,Sometimes,Yes,0
9,2024,Sta. Lucia,Internet Café,1,1,0,1,0,0,Paid,Never,Yes,0
10,2025,Pineda,Water Refilling,0,1,1,1,0,0,Paid,Always,No,0
11,2021,Pinagbuhatan,Restaurant,4,1,1,1,0,0,Paid,Sometimes,No,0
12,2025,Santolan,Mini-Mart,1,1,1,1,0,0,Paid,Always,Yes,0
13,2025,Ugong,Auto Repair,1,1,1,1,0,0,Paid,Always,Yes,0
14,2022,Oranbo,Restaurant,4,0,1,1,0,0,Paid,Always,Yes,0
15,2022,Maybunga,Salon,3,0,1,1,0,0,Unpaid,Sometimes,Yes,0
16,2022,Pineda,Water Refilling,4,1,1,1,0,0,Paid,Never,Yes,0
17,2023,Kapitolyo,Water Refilling,3,0,1,1,0,0,Paid,Always,Yes,0
18,2024,Pinagbuhatan,Internet Café,1,1,1,1,0,0,Paid,Always,Yes,0
19,2023,Maybunga,Fast Food,2,0,1,1,0,0,Paid,Always,Yes,0
20,2023,Santolan,Printing Shop,2,1,1,1,0,0,Unpaid,Always,No,0
21,2024,San Miguel,Laundry,1,1,1,1,0,0,Paid,Never,No,0
22,2022,Sta. Lucia,Laundry,4,1,1,1,0,0,Paid,Always,Yes,0
23,2023,Kapitolyo,Salon,3,1,1,1,0,0,Unpaid,Sometimes,Yes,0
24,2023,Rosario,Water Refilling,2,1,1,1,0,0,Paid,Always,Yes,0
25,2024,Kapitolyo,Internet Café,1,1,1,1,0,0,Unpaid,Always,No,0
26,2025,Kapitolyo,Mini-Mart,0,1,1,1,1,0,Paid,Always,Yes,0
27,2022,San Miguel,Mini-Mart,3,1,1,1,0,1,Paid,Always,Yes,0
28,2024,Pinagbuhatan,Restaurant,2,1,1,1,1,0,Paid,Always,No,0
29,2024,San Miguel,Hardware,1,1,1,1,0,0,Paid,Never,No,0
30,2021,Pinagbuhatan,Auto Repair,4,1,1,1,0,0,Paid,Sometimes,Yes,0
31,2024,Manggahan,Internet Café,2,1,1,0,0,0,Unpaid,Never,No,0
32,2022,Manggahan,Hardware,3,1,1,1,0,0,Paid,Always,Yes,0
33,2021,Sta. Lucia,Pharmacy,4,1,1,1,0,0,Paid,Always,Yes,0
34,2025,Sta. Lucia,Mini-Mart,0,1,1,0,0,0,Paid,Never,No,0
35,2025,Malinao,Salon,0,1,1,1,1,0,Paid,Sometimes,Yes,0
36,2025,Malinao,Internet Café,0,1,1,1,0,0,Unpaid,Always,No,1
37,2023,Kapitolyo,Water Refilling,3,1,1,1,0,0,Paid,Always,Yes,0
38,2021,San Miguel,Grocery,5,1,1,1,0,0,Paid,Always,Yes,0
39,2024,Bagong Ilog,Grocery,2,1,1,1,0,0,Paid,Always,Yes,0
40,2023,San Miguel,Mini-Mart,3,1,0,0,0,0,Unpaid,Sometimes,No,0
41,2022,Oranbo,Internet Café,3,1,1,1,0,0,Unpaid,Sometimes,Yes,0
42,2024,San Miguel,Hardware,1,1,1,1,1,0,Paid,Always,No,0
43,2021,Bagong Ilog,Fast Food,4,1,1,0,0,0,Paid,Always,Yes,0
44,2025,Rosario,Printing Shop,0,1,1,1,1,1,Paid,Sometimes,No,0
45,2023,Kapitolyo,Hardware,2,1,1,1,0,0,Unpaid,Always,Yes,0
46,2024,Pineda,Internet Café,1,1,1,1,0,0,Paid,Always,Yes,0
47,2023,Dela Paz,Fast Food,3,1,1,1,0,0,Unpaid,Sometimes,No,0
48,2024,Bagong Ilog,Auto Repair,1,0,1,1,0,0,Paid,Sometimes,Yes,0
49,2024,Oranbo,Mini-Mart,1,1,0,1,1,0,Paid,Always,Yes,0
50,2022,Kapitolyo,Pharmacy,4,1,1,1,0,0,Unpaid,Sometimes,Yes,0
51,2025,Pinagbuhatan,Restaurant,1,1,1,1,0,0,Paid,Always,Yes,0
52,2025,Pineda,Internet Café,0,1,1,1,0,0,Paid,Always,No,0
53,2025,Dela Paz,Auto Repair,1,1,1,1,0,0,Unpaid,Always,No,0
54,2025,Santolan,Grocery,1,1,0,1,0,0,Unpaid,Always,No,0
55,2024,Kapitolyo,Hardware,1,1,1,1,0,0,Paid,Always,Yes,0
56,2025,Rosario,Salon,0,1,0,1,0,0,Paid,Always,Yes,0
57,2021,Dela Paz,Mini-Mart,5,1,1,1,0,0,Paid,Sometimes,Yes,0
58,2022,Santolan,Fast Food,4,1,1,1,0,0,Paid,Always,Yes,0
59,2021,Malinao,Hardware,5,1,1,1,0,0,Paid,Sometimes,Yes,0
